epoch,train_loss,val_loss,lr
1.0,7.843466992198955e-06,5.220378625381272e-06,0.001
2.0,5.161085109648411e-06,5.170881649974035e-06,0.001
3.0,5.1628411438287e-06,5.232814601185964e-06,0.001
4.0,5.218440173848649e-06,5.260001216811361e-06,0.001
5.0,5.229927164691617e-06,5.298363248584792e-06,0.001
6.0,5.2546509505191355e-06,5.2854438763461076e-06,0.001
7.0,5.2437960493989526e-06,5.26096528119524e-06,0.001
8.0,5.269103130558506e-06,5.331695774657419e-06,0.001
9.0,5.271609988994897e-06,5.344697910913965e-06,0.001
10.0,5.293411568345619e-06,5.342875738278963e-06,0.001
11.0,5.320841983120772e-06,5.335767582437256e-06,0.001
12.0,5.2988221705163595e-06,5.370429789763875e-06,0.001
13.0,5.2891959694534305e-06,5.3687986110162456e-06,0.001
14.0,5.295451201163814e-06,5.288451575324871e-06,0.001
15.0,5.303957013893523e-06,5.267667802399956e-06,0.001
16.0,5.309559128363617e-06,5.310655069479253e-06,0.001
17.0,5.306745106281596e-06,5.398843313741963e-06,0.001
18.0,5.324122848833213e-06,5.322337528923526e-06,0.001
19.0,5.313752644724446e-06,5.395811513153603e-06,0.001
20.0,5.325347783582401e-06,5.355957000574563e-06,0.001
21.0,5.333018107194221e-06,5.377273737394717e-06,0.001
22.0,5.334387205948587e-06,5.322684046404902e-06,0.001
23.0,5.315675134625053e-06,5.328178303898312e-06,0.001
24.0,5.310825918058981e-06,5.3524572649621405e-06,0.001
25.0,5.302243771438952e-06,5.283315203996608e-06,0.001
26.0,5.307412839101744e-06,5.316163424140541e-06,0.001
27.0,5.310801752784755e-06,5.287872681947192e-06,0.001
28.0,5.367122184907203e-06,5.301406872604275e-06,0.001
29.0,5.373134627006948e-06,5.402113856689539e-06,0.001
30.0,5.3412033321365015e-06,5.3427402235683985e-06,0.001
31.0,5.346378093236126e-06,5.335139576345682e-06,0.001
32.0,5.308874560796539e-06,5.268387667456409e-06,0.001
33.0,5.312515177138266e-06,5.366580808185972e-06,0.001
34.0,5.363560476325802e-06,5.355290340958163e-06,0.001
35.0,5.326492992026033e-06,5.375899945647689e-06,0.001
36.0,5.352546122594504e-06,5.457231964101084e-06,0.001
37.0,5.367942303564633e-06,5.48826074009412e-06,0.001
38.0,5.35375581421249e-06,5.347897968022153e-06,0.001
39.0,5.3294635745260165e-06,5.499586677615298e-06,0.001
40.0,5.336762460501632e-06,5.325289748725481e-06,0.001
41.0,5.3076537369634025e-06,5.285613497107988e-06,0.001
42.0,5.312303665050422e-06,5.485442670760676e-06,0.001
43.0,5.332518703653477e-06,5.3689868764195126e-06,0.001
44.0,5.328441202436806e-06,5.408897777670063e-06,0.001
45.0,5.336443082342157e-06,5.40939890925074e-06,0.001
46.0,5.3145467154536165e-06,5.365161541703856e-06,0.001
47.0,5.316835004123277e-06,5.378969490266172e-06,0.001
48.0,5.307204019118217e-06,5.306297225615708e-06,0.001
49.0,5.30221434928535e-06,5.392550065153046e-06,0.001
50.0,5.361433049984044e-06,5.31950763615896e-06,0.001
51.0,5.312696603141376e-06,5.326665814209264e-06,0.001
52.0,5.324408421074622e-06,5.33199363417225e-06,0.001
53.0,5.3647060030925785e-06,5.365721790440148e-06,0.001
54.0,5.348030654204194e-06,5.385359600040829e-06,0.001
55.0,5.3143854165682565e-06,5.334395154932281e-06,0.001
56.0,5.338601567927981e-06,5.324008725438034e-06,0.001
57.0,5.352431489882292e-06,5.351634172257036e-06,0.001
58.0,5.345048275557929e-06,5.386537850426976e-06,0.001
59.0,5.3280419888324105e-06,5.2642599257524125e-06,0.001
60.0,5.347657497623004e-06,5.262298145680688e-06,0.001
61.0,5.336008171070717e-06,5.359247552405577e-06,0.001
62.0,5.322438646544469e-06,5.396570031734882e-06,0.001
63.0,5.311689328664215e-06,5.2871223488182295e-06,0.001
64.0,5.326305026756017e-06,5.370215149014257e-06,0.001
65.0,5.321229054970899e-06,5.344968030840391e-06,0.001
66.0,5.3399493481265384e-06,5.3787998695042916e-06,0.001
67.0,5.347010355762904e-06,5.36860079591861e-06,0.001
68.0,5.328045072019449e-06,5.377540674089687e-06,0.001
69.0,5.330579242581735e-06,5.393076662585372e-06,0.001
70.0,5.336985932444804e-06,5.4260990509646945e-06,0.001
71.0,5.322267134033609e-06,5.49533524463186e-06,0.001
72.0,5.375179543989361e-06,5.426651114248671e-06,0.001
73.0,5.339848057701602e-06,5.41983308721683e-06,0.001
